value_make,value_model,value_variant,value_year,value_petrol,value_transmission,value_mileage,value_first_owner,itemPrice,itemTitle,itemDescriptionContent,locality,district,State
Maruti Suzuki,Swift,2004-2010 VDI BSIV W ABS,2014.0,Diesel,Manual,100000,First,470000,"Maruti Suzuki Swift ZDi, 2014, Diesel","Good condition
company service
ADDITIONAL VEHICLE INFORMATION:
Color: White
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1399
Fog Lamps: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: April
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New",Periyar, Madurai, Tamil Nadu
Maruti Suzuki,Swift,VDI,2015.0,Diesel,Manual,82421,First,450000,"Maruti Suzuki Swift VDi, 2014, Diesel","Single owner
Tyre 75 %
All wheel alloy
P/s p/w
Ac good condition
Audio system pioneer
80 12 . 665. 665",Rajappa Nagar, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,800,AC,2009.0,Petrol,Manual,1,Second,95000,Car Sale Urgent Money Need for My Function,Gud condition 4 tyres 50% insurance 1 year current,Trichy City, Tiruchirappalli, Tamil Nadu
Chevrolet,Beat,2010-2013 LT,2011.0,Diesel,Manual,120000,First,240000,Chevrolet Beat LT- Top model full company maintenance,"All services recently done
Ac. ,power steering,new tyers.
Black color no replacement",Subramaniyapuram, Tiruchirappalli, Tamil Nadu
Maruti Suzuki,Ritz,Ldi BS-IV,2016.0,Diesel,Manual,96500,First,260000,"Maruti Suzuki Ritz Ldi BS-IV, 2016, Diesel","t surrender singilowner
ADDITIONAL VEHICLE INFORMATION:
Type of Car: Luxury
Insurance Type: Comprehensive
Registration Place: TN
Make Month: October
Color: White
Condition: Used",Perambur, Chennai, Tamil Nadu
Hyundai,Santro Xing,XG,1999.0,Petrol,Manual,105000,Second,115000,Chevrolet Spark 2008 Petrol Well Maintained,"Santro 99 model Smart card RC Fc up to june 2025, insurance up to june 2021. car good condition,Fixed price please avoid low bargainers and dealers.",HMS Colony, Madurai, Tamil Nadu
Hyundai,Santro Xing,GL Plus,2009.0,Petrol,Manual,75000,Second,185000,"Santo xing 2009,GL,N.white,1owner,57600kms,all new tyres,Remote lock.","ADDITIONAL VEHICLE INFORMATION:
Color: Red
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: November",Nungambakkam, Chennai, Tamil Nadu
Maruti Suzuki,800,DX,1992.0,Petrol,Manual,75000,Second,56000,"Hyundai Santro, 2001, Petrol",Car very good condition AC music system new mobile charging point new 5 new tyre insurance new FC current extra light fixed full body new looking super duper car,Lakshmipuram, Madurai, Tamil Nadu
Toyota,Land Cruiser Prado,Land Cruiser Prado VX,2001.0,Diesel,Automatic,125000,First,700000,"Toyota Land Cruiser Prado VX, 2001, Diesel","BABA CARS MADURAI,
2001 TOYOTA PRADO TZ,
SINGLE OWNER,
KM 1,28,000 DRIVEN,
3 LITRE ENGINE,
AUTOMATIC 4 SPEED TRANSMISSION 4x4,
AUTO DIFFERTIONAL LOCKING SYSTEM,
HILL ASSIST CONTROL,
AUTO IDLING SYSTEM,
CLIMATIC CONTROL A/C,
FRONT AND REAR AIRBAG WITH ABS,
SUNROOF,
AFTER MARKET HEAD LIGHTS WITH PROJECTOR,
IRONMAN SUSPENSION,
BRAND NEW TYRES,
ALL PAPERS ARE CURRENT FOR 5 YEARS,
GOOD CONDITION MUSCLE SUV
Exchange facilities available,
interested buyers
(Press Call button)
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Color: Silver
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Aux Compatibility: Yes
Anti Theft Device: Yes
Service History: Not Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Parking Sensors: Yes
Flood Affected: No
Rear Window Wiper: Yes
Cruise Control: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 3000
Fog Lamps: Yes
Interior color: Beige
Adjustable External Mirror: Power
Exchange: Yes
Type of Car: SUV
Battery Condition: New
Insurance Type: Third Party
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: November
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Sunroof: Yes
Tyre Condition: New
Number of Airbags: 2 airbags",Palanganatham, Madurai, Tamil Nadu
Honda,City ZX,GXi,2006.0,Petrol,Manual,137000,First,195000,"Honda City Zx ZX GXi, 2007, Petrol","ADDITIONAL VEHICLE INFORMATION:
Color: Black
Type of Car: Sedans
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: November",Nungambakkam, Chennai, Tamil Nadu
Toyota,Innova,2.5 VX (Diesel) 7 Seater BS IV,2015.0,Diesel,Manual,159000,Third,1100000,"Toyota Innova 2.0 V, 2011, Diesel","Innova V type
2015
3 owner
Insurance nil
Ac
Power steering
Power windows
ABS breaking system
Touch screen
Reverse camera
All tyres good condition
Back AC
Leather seat cover
No accidents
No replacement
Place Trichy Ariyamangalam Relianace market nearby
Price negotiable",Kamaraj Nagar, Tiruchirappalli, Tamil Nadu
Chevrolet,Tavera,2003-2007 LT L1 9 Seats BSIII,2006.0,Diesel,Manual,147554,Third,340000,"Toyota Qualis FS B3, 2004, Diesel","seeman cars
ff road Goripalayam
madurai
ADDITIONAL VEHICLE INFORMATION:
Color: Black
Type of Car: SUV
Registration Place: TN
Insurance Type: No Insurance
Condition: Used
Power Windows: Front & rear
Make Month: May",Goripalayam, Madurai, Tamil Nadu
Hyundai,Grand I 10,,2015.0,Diesel,,46000,,435000,"Hyundai Grand I 10, 2016, Petrol","ADDITIONAL VEHICLE INFORMATION:
Color: Other
Navigation System: Yes
No. of Owners: Third
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Transmission: Manual
Power steering: Yes
Make Month: May
Alloy Wheels: Yes
Fog Lamps: Yes",Nungambakkam, Chennai, Tamil Nadu
Maruti Suzuki,Ertiga,2012-2015 ZDI,2013.0,Diesel,Manual,155000,Second,700000,Maruti Suzuki Baleno 2019 Petrol face lift Version Well Maintained,"ADDITIONAL VEHICLE INFORMATION:
Color: Blue
Air Conditioning: Automatic Climate Control
USB Compatibility: Yes
Registration Place: TN
AM/FM Radio: Yes
Automatic Boot: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Rear Window Wiper: Yes
Cruise Control: Yes
Power Windows: Front & rear
Fog Lamps: Yes
Display Screen: Yes
Navigation System: Yes
Interior color: Grey
Adjustable External Mirror: Power
Type of Car: SUV
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: May
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags",Chellapan Nagar, Pudukkottai, Tamil Nadu
