link,value_make,value_model,value_variant,value_year,value_petrol,value_transmission,value_mileage,value_first_owner,itemPrice,itemTitle,itemLocation,itemDescriptionContent
"https://www.olx.in/item/mahindra-xuv500-xuv500-w10-2016-diesel-iid-1592247631
",Mahindra,XUV500,W10 2WD,2016,Diesel,Manual,"100,500 km",First,"₹ 10,25,000","Toyota Fortuner 3.0 4x4 Manual, 2009, Diesel","Palanganatham, Madurai, Tamil Nadu","2015/16 XUV500 W10,
Single owner,
Km 1,00,500 driven,
M-hawk 2.2 engine,
8 airbags,
ABS,
Anti theft device,
Climatic control A/C,
Adjustable power steering,
Touch screen with audio,
Rain mode sensor,
Leather seats,
Auto folding mirrors with adjustable
Cruise control,
Sunroof,
DRL with projector headlamps,
Fog lamps,
Rear parking sensor with camera,
Rear wiper with defogger,
17 inch alloy wheels with new tyres,
Full insurance,
Full Company service,
showroom condition car,
Finance and exchange facilities available.
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
USB Compatibility: Yes
AM/FM Radio: Yes
Rear Parking Camera: Yes
Cruise Control: Yes
Warranty: Yes
Engine Capacity/Displacement (in Cc): 2200
Fog Lamps: Yes
Navigation System: Yes
Interior color: Beige
Adjustable External Mirror: Power
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: September
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Insurance: Yes
Color: Silver
Air Conditioning: Automatic Climate Control
Anti Theft Device: Yes
Service History: Available
Registration Place: TN
Accidental: No
Parking Sensors: Yes
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Display Screen: Yes
Finance: Yes
Exchange: Yes
Type of Car: MUV
Battery Condition: New
ABS: Yes
Bluetooth: Yes
Sunroof: Yes
Number of Airbags: 8 airbags"
"https://www.olx.in/item/hyundai-i10-sportz-12-kappa2-2009-petrol-iid-1591787355
",Hyundai,i10,Sportz 1.2 Kappa2,2009,Petrol,Manual,"40,000 km",First,"₹ 2,50,000","Hyundai I10 Sportz 1.2 Automatic, 2011, Petrol","Chennai Central, Chennai, Tamil Nadu","company maintenance good condition
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Grey
Air Conditioning: Without Heater
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Finance: Yes
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: September
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New"
"https://www.olx.in/item/mahindra-boleromaxx-pick-upfc-insurance-1-year-iid-1588457606
",Others,-1,-1,2010,-1,-1,"65,000 km",-1,"₹ 2,75,000",Mahindra school bus,"Kil Muttupatti, Madurai, Tamil Nadu",GOOD CONDITION
"https://www.olx.in/item/mercedes-benz-e-class-e220-cdi-avantgarde-2013-diesel-iid-1591424693
",Mercedes-Benz,E-Class,E 220 CDI Avantgarde,2013,Diesel,Automatic,"52,000 km",First,"₹ 13,25,000","Mercedes-Benz C-Class 250 Avantgarde, 2011, Diesel","Chennai Central, Chennai, Tamil Nadu","clean look
well maintained
for more details call my no
ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Type of Car: Sedans
Registration Place: TN
Insurance Type: Zero Dep
Condition: Used
Make Month: October"
"https://www.olx.in/item/hyundai-grand-i10-magna-11-crdi-2013-diesel-iid-1591049486
",Hyundai,Grand i10,Magna 1.1 CRDi,2013,Diesel,Manual,"70,000 km",First,"₹ 3,75,000",Hyundai Grand i10 2014,"KK Nagar, Madurai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Grey
Type of Car: Coupe
Registration Place: TN
Insurance Type: No Insurance
Condition: Used
Make Month: December"
"https://www.olx.in/item/maruti-suzuki-sx4-2010-iid-1590285641
",Maruti Suzuki,SX4,VXI CNG BS-IV,2010,Petrol,Manual,"69,000 km",Third,"₹ 2,40,000",Chevrolet Beat LT- Top model full company maintenance,"Subramaniyapuram, Tiruchirappalli, Tamil Nadu","Maruthi suzuki SX4 2010 model, Petrol and LPG vehicle.All power window, Electrical adjustment side mirror,All tyre 75% good condition, stepney tyre 50% condition. No tent, minor scratch only. Company music system."
"https://www.olx.in/item/hyundai-grand-i-10-2017-diesel-iid-1586908751
",Hyundai,Grand I 10,-1,2017,Diesel,Manual,"62,090 km",First,"₹ 3,75,000",Hyundai Grand i10 2014,"Anna Nagar, Madurai, Tamil Nadu","2018 Registeration Excellent engine condition, Good New looking, only 2Years and six months old car Single owner only,A/C power steering Audio system Available All four tubeless Radial tyres very good condition
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: White
Air Conditioning: With Heater
Service History: Not Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Vehicle Certified: No
Interior color: Beige
Finance: Yes
Adjustable External Mirror: Manual
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: December
Tyre Condition: New"
"https://www.olx.in/item/toyota-corolla-h5-18e-2006-petrol-iid-1592848934
",Toyota,Corolla,H5 1.8E,2006,Petrol,-1,"95,000 km",Second,"₹ 1,80,000","Ford Fiesta EXi 1.4, 2006, Diesel","Tondiarpet, Chennai, Tamil Nadu","Top model Good Condition
ADDITIONAL VEHICLE INFORMATION:
Display Screen: Yes
Air Conditioning: Automatic Climate Control
Adjustable External Mirror: Power
AM/FM Radio: Yes
Cruise Control: Yes
Power steering: Yes
Adjustable Steering: Yes
Power Windows: Front & rear
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Fog Lamps: Yes"
"https://www.olx.in/item/volkswagen-polo-2013-diesel-good-condition-iid-1588858278
",Volkswagen,Polo,2013-2015 1.5 TDI Trendline,2013,Diesel,Manual,"130,000 km",First,"₹ 4,30,000","Volkswagen Vento Comfortline Diesel, 2013, Diesel","Mahal Area, Madurai, Tamil Nadu","2012 reg 2013 delivery ...
Dealers and time passers stay away only serious buyers are welcome
New tyres
Touch screen monitor
New speakers
With alloy wheel cap
Fancy number
Company service record available
No accidents
Pakka ownboard
Insurance current
Power window
Power steering
Ac chill cooling
New ac nob
Showroom condition
VIP used car with fancy number single owner
If you are interested msg me"
"https://www.olx.in/item/tata-indica-v2-ls-2008-diesel-iid-1590034934
",Tata,Indica V2,V2 LS,2008,Diesel,Manual,"95,000 km",First,"₹ 70,000",Ford Ikon 2000 Diesel Well Maintain,"Thillai Nagar, Tiruchirappalli, Tamil Nadu","A/C P/S C/L LOCATION:PUDUKKOTTAI(DIST) KARAMBAKKUDI VANIYA STREET. GAS COMPANY OPPOSITE COMPANY MUSIC SYSTEM FULL INSURANCE COMPANY MAINTANCE ALL PAPER CURRENTS
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Silver
Air Conditioning: With Heater
Aux Compatibility: Yes
USB Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Vehicle Certified: Yes
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: Old
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
Make Month: May
Lock System: Central
Tyre Condition: New"
"https://www.olx.in/item/red-taxi-ola-uber-iid-1590446038
",Maruti Suzuki,-1,-1,2016,-1,-1,"60,000 km",-1,"₹ 4,00,000",Red taxi ola uber...,"Anna Nagar, Madurai, Tamil Nadu",I need car
"https://www.olx.in/item/hyundai-santro-2006-petrol-iid-1592486589
",Hyundai,Santro,-1,2006,Petrol,Manual,"70,000 km",Third,"₹ 1,00,000","Hyundai Santro, 2005, Petrol","Chennai Central, Chennai, Tamil Nadu","contact more details
ADDITIONAL VEHICLE INFORMATION:
Registration Transfer: Yes
Insurance: Yes
Color: Silver
Air Conditioning: Automatic Climate Control
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Power Windows: Front
Warranty: Yes
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1200
Interior color: Grey
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Make Month: June
Lock System: Central
Tyre Condition: New"
"https://www.olx.in/item/hyundai-elite-i20-sportz-14-2016-diesel-iid-1592074283
",Hyundai,Elite i20,Sportz 1.4,2016,Diesel,Manual,"80,565 km",First,"₹ 5,95,000",Gt. Hyundai New car selling best offer price,"Dheeran Nagar, Tiruchirappalli, Tamil Nadu","SEAT COVER,FULL MAT. GOOD CONDITIONS
ADDITIONAL VEHICLE INFORMATION:
Make Month: May
Color: Red
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Engine Capacity/Displacement (in Cc): 1396
Power steering: Yes
Adjustable Steering: Yes
Air Conditioning: Automatic Climate Control
Power Windows: Front & rear
Fog Lamps: Yes
Adjustable External Mirror: Power
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
Interior color: Beige
ABS: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Remote Controlled Central
Number of Airbags: 2 airbags
Battery Condition: Old
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Warranty: Yes"
"https://www.olx.in/item/honda-amaze-15-e-i-dtec-2017-diesel-iid-1583488615
",Honda,Amaze,2013-2016 E i-Dtech,2017,Diesel,Manual,"97,000 km",First,"₹ 5,50,000","Honda Amaze 1.5 E i-DTEC, 2017, Diesel","Nungambakkam New Colony, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: White
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Power Windows: Front & rear
Warranty: Yes
Vehicle Certified: Yes
Interior color: White
Adjustable External Mirror: Manual
Type of Car: Sedans
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: April
Lock System: Central
Tyre Condition: New
Number of Airbags: None"
"https://www.olx.in/item/maruti-suzuki-zen-estilo-2008-petrol-iid-1592114354
",Maruti Suzuki,Zen Estilo,-1,2008,Petrol,Manual,"55,000 km",Second,"₹ 1,60,000","Maruti Suzuki Wagon R Duo, 2007, CNG & Hybrids","Villapuram, Madurai, Tamil Nadu","zen Estilo vxi
2008
second owner
inus nil
kms 55 k done
service records
excellent condition
ADDITIONAL VEHICLE INFORMATION:
Color: Gold
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Flood Affected: No
Rear Window Wiper: Yes
Power Windows: Front & rear
Vehicle Certified: Yes
Fog Lamps: Yes
Adjustable External Mirror: Power
Type of Car: Hatchback
Battery Condition: Old
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Make Month: August
Bluetooth: Yes
Lock System: Remote Controlled Central
Tyre Condition: New
Number of Airbags: None"
"https://www.olx.in/item/hyundai-elite-i20-sportz-12-2016-diesel-iid-1592805712
",Hyundai,Elite i20,Sportz 1.2,2016,Diesel,Manual,"30,000 km",First,"₹ 5,55,555","Volkswagen Polo, 2010, Diesel","Mylapore, Chennai, Tamil Nadu","HYUNDAI ELITE I20 SPORTZ 1.2 2016 MODEL SINGLE DIESEL VEHICLE IS VERY GOOD CONDITION FINANCE ARRANGED PRICE NEGOTIABLE
ADDITIONAL VEHICLE INFORMATION:
Make Month: October
Color: Blue
Type of Car: Hatchback
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Power steering: Yes
Power Windows: Front & rear
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No"
"https://www.olx.in/item/hyundai-i20-asta-12-2014-petrol-iid-1553545640
",Hyundai,i20,1.2 Asta,2014,Petrol,Manual,"32,000 km",Second,"₹ 3,80,000","Hyundai I20 Sportz 1.2, 2012, Diesel","Ram Nagar, Coimbatore, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Make Month: May
Color: White
Type of Car: Hatchback
Insurance Type: Third Party
Condition: Used
Registration Place: TN
Bluetooth: Yes
AM/FM Radio: Yes
USB Compatibility: Yes
Aux Compatibility: Yes
ABS: Yes
Anti Theft Device: Yes
Rear Parking Camera: Yes
Parking Sensors: Yes
Lock System: Central
Number of Airbags: 2 airbags
Registration Transfer: Yes
Insurance: Yes
Finance: Yes
Exchange: Yes"
"https://www.olx.in/item/maruti-suzuki-eeco-7-str-2012-petrol-iid-1581163683
",Maruti Suzuki,Eeco,7 Seater Standard,2012,Petrol,Manual,"90,000 km",Third,"₹ 1,75,000","Hyundai Santro Xing GLS LPG, 2010, LPG","Thillai Nagar, Tiruchirappalli, Tamil Nadu","அலங்கார் கார்ஸ் திருச்சி
ADDITIONAL VEHICLE INFORMATION:
Color: Blue
Air Conditioning: Automatic Climate Control
Aux Compatibility: Yes
Anti Theft Device: Yes
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Cruise Control: Yes
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1200
Fog Lamps: Yes
Interior color: Other
Adjustable External Mirror: Manual
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Make Month: January
Lock System: Central
Tyre Condition: New"
"https://www.olx.in/item/verma-jeep-sale-iid-1579499297
",-1,-1,-1,2016,-1,-1,250 km,-1,"₹ 4,45,000",Eicher school bus,"Trichy City, Tiruchirappalli, Tamil Nadu","Welcome to Verma jeep modifications we are manufacturer a modified jeep thar willy with all latest feature like
Power steering
Power supply
Power clutch
Power break
Disk break
Alloy wheels
Led lights
Electronic seat
Sunroof
Power window
Center lock
High ground clearance
Smart card rc
Valid from 2019 to 2034
For more information call me
Verma jeep modifications
Mandi dabwali sirsa haryana
Call 93161. 06051"
"https://www.olx.in/item/condition-is-next-level-iid-1579535577
",Honda,Civic,1.8 V MT,2008,Petrol,Manual,"86,000 km",Third,"₹ 3,00,000",Volkswagen Polo 2010 LPG 102000 Km Driven comport line,"Anna Nagar, Madurai, Tamil Nadu",Want to sell cus of cash emergency
"https://www.olx.in/item/bmw-m3-2017-petrol-35000-km-driven-iid-1592011764
",BMW,M3,Coupe,2017,Petrol,Automatic,"35,000 km",Second,"₹ 80,00,000",BMW M3 2017 Petrol 35000 Km Driven,"Chennai Central, Chennai, Tamil Nadu","It’s a performance car . Gives immense pleasure while driving.
0-100kmph under 4 seconds claimed.
Tuned car for racing.
New wheels for track and street purpose.
Original full Akrapovic exhaust system installed. Open and close valve type through button.
Beautiful pops and crackles at low rpm rev itself.
Modified with passion in cars.
Guaranteed fun to drive car.
Reason for selling : upgrading to a more powerful beemer ."
"https://www.olx.in/item/tata-indigo-xl-2006-diesel-100000-km-driven-iid-1588958594
",Tata,Indigo XL,Others,2006,Diesel,Manual,"100,000 km",Fourth,"₹ 90,000",Tata shed for car and all use,"Ahmed Colony, Tiruchirappalli, Tamil Nadu","2010 engine and power steering ,power window
Poiner speaker audio system
FC 6 months current
No insurance
4 tyire new"
"https://www.olx.in/item/maruti-suzuki-eeco-7-str-2011-petrol-iid-1564601219
",Maruti Suzuki,Eeco,-1,2011,Petrol,-1,"68,000 km",-1,"₹ 2,95,000","Maruti Suzuki Eeco 5 STR WITH A/C+HTR, 2013, Petrol","Villapuram, Madurai, Tamil Nadu","GOOD CONDITION
ADDITIONAL VEHICLE INFORMATION:
Variant: Eeco 7 STR
Make Month: April
No. of Owners: First
Color: Grey
Transmission: Manual
Insurance Type: Comprehensive
Condition: Used
Registration Place: TN
Display Screen: Yes
AM/FM Radio: Yes
Battery Condition: New
Tyre Condition: New
Service History: Available
Vehicle Certified: Yes
Flood Affected: No
Accidental: No
Insurance: Yes
Finance: Yes
Exchange: Yes"
"https://www.olx.in/item/maruti-suzuki-alto-2006-petrol-80000-km-driven-iid-1592515594
",Maruti Suzuki,Alto,2005-2010 STD,2006,Petrol,Automatic,"80,000 km",Second,"₹ 1,25,000","Maruti Suzuki Alto LXi BS-III, 2006, Petrol","Trichy City, Tiruchirappalli, Tamil Nadu",Well maintained car ps ac center lock interested person contact number porginers staway no insurance price nogatible low cost people not Chet
"https://www.olx.in/item/maruti-800-with-lpg-endorsement-new-battery-and-fc-till-2023-iid-1591382750
",Maruti Suzuki,800,DX 5 Speed,2001,CNG & Hybrids,Manual,"85,000 km",Third,"₹ 95,000",Car Sale Urgent Money Need for My Function,"Trichy City, Tiruchirappalli, Tamil Nadu","Maruti 800 with lpg endorsement ,new battery and fc till 2023"
"https://www.olx.in/item/hyundai-i10-magna-2015-petrol-iid-1591011318
",Hyundai,i10,Magna,2015,Petrol,Manual,"45,000 km",First,"₹ 3,40,000","Hyundai I10 Magna, 2013, Petrol","Chennai Central, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: Silver
Service History: Available
Registration Place: TN
Accidental: No
Flood Affected: No
Power Windows: Front
Warranty: Yes
Vehicle Certified: Yes
Finance: Yes
Exchange: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: Comprehensive
Condition: Used
Power steering: Yes
Make Month: June
Tyre Condition: New"
"https://www.olx.in/item/maruti-suzuki-estilo-vxi-2011-petrol-iid-1585876933
",Maruti Suzuki,Estilo,VXi,2011,Petrol,Manual,"48,000 km",First,"₹ 2,40,000","Chevrolet Beat LT Diesel, 2014, Diesel","Nungambakkam, Chennai, Tamil Nadu","ADDITIONAL VEHICLE INFORMATION:
Color: White
Type of Car: Hatchback
Registration Place: TN
Insurance Type: Comprehensive
Condition: Used
Make Month: November"
"https://www.olx.in/item/maruti-suzuki-swift-vdi-abs-2014-diesel-iid-1586937251
",Maruti Suzuki,Swift,2004-2010 VDI BSIV W ABS,2014,Diesel,Manual,"100,000 km",First,"₹ 4,70,000","Maruti Suzuki Swift ZDi, 2014, Diesel","Periyar, Madurai, Tamil Nadu","Good condition
company service
ADDITIONAL VEHICLE INFORMATION:
Color: White
Air Conditioning: With Heater
USB Compatibility: Yes
Aux Compatibility: Yes
Service History: Available
Registration Place: TN
AM/FM Radio: Yes
Accidental: No
Automatic Boot: Yes
Flood Affected: No
Power Windows: Front & rear
Vehicle Certified: Yes
Engine Capacity/Displacement (in Cc): 1399
Fog Lamps: Yes
Type of Car: Hatchback
Battery Condition: New
Insurance Type: No Insurance
Condition: Used
Power steering: Yes
Adjustable Steering: Yes
ABS: Yes
Make Month: April
Bluetooth: Yes
Alloy Wheels: Yes
Lock System: Remote Controlled Central
Tyre Condition: New"
"https://www.olx.in/item/maruti-suzuki-swift-2015-iid-1581986455
",Maruti Suzuki,Swift,VDI,2015,Diesel,Manual,"82,421 km",First,"₹ 4,50,000","Maruti Suzuki Swift VDi, 2014, Diesel","Rajappa Nagar, Tiruchirappalli, Tamil Nadu","Single owner
Tyre 75 %
All wheel alloy
P/s p/w
Ac good condition
Audio system pioneer
80 12 . 665. 665"
"https://www.olx.in/item/maruti-suzuki-800-2009-petrol-1-km-driven-iid-1591332567
",Maruti Suzuki,800,AC,2009,Petrol,Manual,1 km,Second,"₹ 95,000",Car Sale Urgent Money Need for My Function,"Trichy City, Tiruchirappalli, Tamil Nadu",Gud condition 4 tyres 50% insurance 1 year current
"https://www.olx.in/item/chevrolet-beat-2011-diesel-well-maintained-iid-1590526036
",Chevrolet,Beat,2010-2013 LT,2011,Diesel,Manual,"120,000 km",First,"₹ 2,40,000",Chevrolet Beat LT- Top model full company maintenance,"Subramaniyapuram, Tiruchirappalli, Tamil Nadu","All services recently done
Ac. ,power steering,new tyers.
Black color no replacement"
"https://www.olx.in/item/tata-ace-ht-2009-showroom-condition-iid-1592848056
",TATA Motors,-1,-1,2009,-1,-1,"156,388 km",-1,"₹ 2,15,000",Tata winger school bus,"Karisalkulam, Madurai, Tamil Nadu","TATA ACE 2009
4 OWNER
TN 63 REGISTERATION
Tax Surrender Condition
FC & INS 1 YEAR CURRENT
4 TYRES 70%
NEW PAINTING & WIRiNG WORKS
Life tax
OIL SERVICES CHANGED
NEW SEAT COVERS
NEW HEADLIGHTS & REAR LIGHTS
No need any pending works
ALL are SHOWROOM CONDITION Vechiles
Come and check the test drive
Ur work is only name transfer otherwise no pending works in vechicle showroom condition
No Fixed Price
Any person interested cl me or what's app me
9 four 8 six trible 5 to o 5"
